Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2022-2023,New Orleans Pelicans 2023,5,10,118.5,45.1,93.6,48.2,11.1,28.6,38.8,17.2,22.7,75.8,12.7,33.1,45.8,28,8.7,3.9,13.5,19.9,,,,,,
2022-2023,Utah Jazz 2023,9,12,118.3,43.3,91.6,47.3,14.9,40.1,37.2,16.7,21.6,77.2,12.3,32.3,44.5,27.8,8.9,5.4,15.3,22.8,,,,,,
2022-2023,Boston Celtics 2023,7,10,117.8,40.8,85.5,47.7,15.6,40.3,38.7,20.6,24.1,85.5,7.8,33.4,41.2,25.4,5.5,5.8,13.3,21.7,,,,,,
2022-2023,Golden State Warriors 2023,4,11,117.3,42.7,89.9,47.5,14.6,40.7,35.9,17.2,21.5,79.7,9.4,31.9,41.3,28.5,7.3,4,16,23.9,,,,,,
2022-2023,Indiana Pacers 2023,5,10,117.1,41.2,90.8,45.4,15.3,40.4,37.9,19.4,24.2,80.2,11.3,33.4,44.7,28.4,6.5,6.8,15.4,22.2,,,,,,
2022-2023,Atlanta Hawks 2023,7,10,116.5,44.5,94.9,46.9,10.4,29.9,34.8,17.1,20.9,81.8,10.9,33.9,44.8,25.8,8.1,5.7,11.8,21.6,,,,,,
2022-2023,Cleveland Cavaliers 2023,8,10,116.3,41.5,86.9,47.8,13.4,33.6,39.9,19.9,24.6,80.9,9.9,35.7,45.6,25.4,5.7,5,14.6,20.9,,,,,,
2022-2023,Denver Nuggets 2023,7,10,116.2,44,87.7,50.2,13.4,32,41.9,14.8,20.7,71.5,10.6,34.8,45.4,29,7.5,3.8,15.3,18.8,,,,,,
2022-2023,Memphis Grizzlies 2023,7,11,116.1,43,92.2,46.6,13.3,34.7,38.2,16.8,23.7,70.9,12.9,34.1,47,24.4,6.7,5.5,13.7,20.8,,,,,,
2022-2023,New York Knicks 2023,5,10,115,43,92.8,46.3,11.8,34.8,33.9,17.2,22.3,77.1,12.7,36.1,48.8,24.7,6.5,5.5,14.5,22.1,,,,,,
2022-2023,Sacramento Kings 2023,3,9,114.7,41.1,87.1,47.2,14.1,39,36.2,18.3,24.2,75.7,7.8,33.8,41.6,26.7,6.1,3.4,14.6,22.3,,,,,,
2022-2023,Minnesota Timberwolves 2023,5,11,113.7,42.5,90.3,47.1,11.5,35.3,32.5,17.2,22.5,76.5,10.9,35.2,46.1,26.4,7.7,5.6,15.9,21.4,,,,,,
2022-2023,Dallas Mavericks 2023,6,10,113,39.3,82.1,47.9,13,36.4,35.7,21.3,28.3,75.3,8.9,31.2,40.1,19.6,8.3,4,14,21.3,,,,,,
2022-2023,San Antonio Spurs 2023,5,11,112.9,41.9,89.5,46.8,13.6,35.5,38.4,15.5,21.4,72.3,10.7,30.7,41.5,29.9,7.6,4.3,17.2,18.6,,,,,,
2022-2023,Phoenix Suns 2023,7,10,112.4,41,86.7,47.3,11.5,31.9,36,18.9,23.2,81.5,10.5,31,41.5,27.6,7.9,5.9,12.9,22.3,,,,,,
2022-2023,Toronto Raptors 2023,6,11,111.9,40.8,89.7,45.5,12.3,33.7,36.4,18,23.5,76.4,11.5,31.8,43.3,24.5,10.6,5.9,11.7,20.4,,,,,,
2022-2023,Orlando Magic 2023,3,11,111.5,40.5,84.8,47.8,9.7,30,32.4,20.7,26.4,78.6,10.2,35.2,45.4,21.2,6.5,5.7,16.1,22.8,,,,,,
2022-2023,Chicago Bulls 2023,6,12,111.4,39.8,86.4,46.1,11,29.5,37.3,20.8,24.4,85,10.8,33.6,44.3,24.3,8.3,5.7,15,20.2,,,,,,
2022-2023,Milwaukee Bucks 2023,9,10,111.4,40.4,89.9,44.9,13.4,39.3,34.1,17.2,23.4,73.5,12.2,38.5,50.7,23.8,7.5,6.8,14.4,19.4,,,,,,
2022-2023,Brooklyn Nets 2023,4,11,110.5,40,84.1,47.6,11.3,32.1,35.1,19.3,23.5,81.9,8.8,30.6,39.5,25.2,7.6,8.1,13.1,22.7,,,,,,
2022-2023,Houston Rockets 2023,2,11,110.4,39.2,90.5,43.3,13.4,36.9,36.2,18.6,24.5,75.9,13.9,31.3,45.2,21.1,7.7,4.5,16.3,21.5,,,,,,
2022-2023,Portland Trail Blazers 2023,7,10,109.8,38.9,83,46.9,11.8,29.9,39.5,20.2,25.9,78,10.7,33,43.7,23.2,6.9,4.3,16.2,19,,,,,,
2022-2023,Oklahoma City Thunder 2023,4,10,109.7,42.1,95.5,44.1,10.2,34.8,29.3,15.3,20.2,75.7,12.3,32.6,44.9,23.8,9.1,6.1,11.7,21.1,,,,,,
2022-2023,Charlotte Hornets 2023,3,11,109.1,40.9,92.5,44.2,10.8,31.9,33.9,16.5,22.9,71.8,12.2,33.7,45.9,26.5,7.5,6.3,14.5,20.5,,,,,,
2022-2023,Philadelphia 76ers 2023,5,11,108.9,38.7,82.9,46.7,13.5,34.5,39.2,17.9,22.4,80.1,7.8,31.4,39.2,24.2,7.9,4.7,12.5,19.5,,,,,,
2022-2023,Los Angeles Lakers 2023,2,10,108.4,40.2,90.5,44.4,9.3,32,29.1,18.7,23.6,79.2,9.6,35.5,45.1,23.2,7.8,5.5,14.8,20.1,,,,,,
2022-2023,Miami Heat 2023,4,11,108,38.4,85.2,45,11.9,34.6,34.4,19.4,22.1,87.7,8.7,31.5,40.2,24.7,8.2,2.9,13.3,20.1,,,,,,
2022-2023,Detroit Pistons 2023,3,11,107.7,37.7,88.5,42.6,11.4,33.7,33.7,20.9,26.6,78.5,11.7,32.2,43.9,21.2,6.4,4,14.2,22.5,,,,,,
2022-2023,Washington Wizards 2023,5,11,107,40.5,86,47,8.9,29.1,30.6,17.2,21.8,78.8,9.5,34.4,43.8,23.5,5.6,5.9,12.8,19.9,,,,,,
2022-2023,LA Clippers 2023,6,11,103.8,39.3,82.8,47.4,10.7,32.2,33.3,14.5,19.8,73.4,7,35.5,42.5,21.3,7.4,5.5,15,20,,,,,,
2021-2022,Minnesota Timberwolves 2022,46,82,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8,,,,,,
2021-2022,Memphis Grizzlies 2022,56,82,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,9.8,6.5,12.5,19.8,,,,,,
2021-2022,Milwaukee Bucks 2022,51,82,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4,12.7,18.2,,,,,,
2021-2022,Charlotte Hornets 2022,43,82,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,8.6,4.9,12.7,19.9,,,,,,
2021-2022,Phoenix Suns 2022,64,82,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,8.6,4.4,12.3,19.9,,,,,,
2021-2022,Atlanta Hawks 2022,43,82,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,7.2,4.2,11.3,18.7,,,,,,
2021-2022,Utah Jazz 2022,49,82,113.6,40.6,86.2,47.1,14.5,40.3,36,17.9,23.4,76.7,10.8,35.6,46.3,22.4,7.2,4.9,13.2,18.9,,,,,,
2021-2022,San Antonio Spurs 2022,34,82,113.2,43.2,92.7,46.7,11.3,32,35.2,15.4,20.4,75.4,11,34.3,45.3,27.9,7.6,4.9,12.3,18.1,,,,,,
2021-2022,Brooklyn Nets 2022,44,82,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,7.1,5.5,13.2,20.4,,,,,,
2021-2022,Denver Nuggets 2022,48,82,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,7.2,3.7,13.8,20,,,,,,
2021-2022,Los Angeles Lakers 2022,33,82,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,7.6,5.2,13.9,20.2,,,,,,
2021-2022,Boston Celtics 2022,51,82,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,7.2,5.8,13,18.5,,,,,,
2021-2022,Chicago Bulls 2022,46,82,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,7.1,4.1,12.1,18.8,,,,,,
2021-2022,Indiana Pacers 2022,23,82,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,7.1,5.6,13.6,20.4,,,,,,
2021-2022,Golden State Warriors 2022,53,82,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,8.8,4.5,14.3,21,,,,,,
2021-2022,Sacramento Kings 2022,30,82,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,7.2,4.5,13.5,18.9,,,,,,
2021-2022,Miami Heat 2022,53,82,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,7.4,3.2,13.8,20.5,,,,,,
2021-2022,Philadelphia 76ers 2022,51,82,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,7.7,5.3,11.7,19.4,,,,,,
2021-2022,Houston Rockets 2022,20,82,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,7.3,4.7,15.7,20.6,,,,,,
2021-2022,Toronto Raptors 2022,48,82,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,9,4.6,11.6,19.6,,,,,,
2021-2022,New Orleans Pelicans 2022,36,82,109.3,40.2,88,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12,33.2,45.2,25,8.3,4,13.3,19.7,,,,,,
